hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
60008332,_13,2017,0.0,2,0
60008332,_16,2017,0.0,1,0
60008332,_25,2017,0.0,1,0
60008576,_31,2017,0.0,1,0
60008691,_22,2011,0.0,1,0
60008691,_31,2016,0.0,1,0
60008872,_13,2017,0.0,1,0
60008872,_27,2017,0.0,1,0
60009400,_22,2012,0.0,1,0
60009409,_19,2016,0.0,1,0
60009409,_23,2016,1.0,1,1
60009509,_11,2015,0.0,1,0
60009509,_16,2015,0.0,1,0
60009509,_27,2017,1.0,1,1
60009860,_10,2012,0.0,1,0
60009860,_11,2012,0.0,1,0
60009860,_13,2011,0.0,1,0
60009860,_16,2012,0.0,2,0
60009860,_17,2017,0.0,4,0
60009860,_18,2017,0.0,1,0
60009860,_19,2016,0.0,1,0
60009860,_22,2011,0.0,1,0
60009860,_23,2011,0.0,1,0
60009860,_24,2015,0.0,1,0
60009860,_25,2012,0.5,2,0
60009860,_26,2013,0.0,1,0
60009860,_27,2011,0.0,2,0
60009860,_28,2012,0.0,1,0
60009860,_30,2015,0.0,1,0
60009860,_31,2011,0.0,1,0
60009860,_33,2017,0.0,1,0
60009860,_35,2017,0.0,1,0
60009884,_27,2013,0.0,1,0
60010080,_13,2013,0.0,1,0
60010080,_17,2017,0.5,2,0
60010080,_22,2017,0.0,2,0
60010080,_23,2017,0.0,1,0
60010080,_25,2016,0.0,1,0
60010080,_31,2011,0.0,1,0
60010421,_17,2017,0.0,1,0
60010421,_19,2017,0.0,1,0
60010421,_22,2012,0.0,1,0
60010421,_25,2017,0.0,1,0
60010421,_30,2011,0.0,1,0
60010421,_31,2015,0.0,2,0
60010432,_13,2012,0.0,2,0
60010432,_15,2016,0.0,2,0
60010432,_16,2012,0.0,1,0
60010432,_17,2013,0.0,1,0
60010432,_19,2016,0.0,1,0
60010432,_22,2013,0.0,1,0
60010432,_25,2011,0.0,2,0
60010432,_27,2013,0.0,1,0
60010432,_28,2013,0.0,1,0
60010432,_31,2011,0.0,1,0
60010591,_13,2017,0.0,1,0
60010591,_16,2015,1.0,1,1
60010591,_17,2015,0.0,1,0
60010591,_25,2017,0.0,1,0
60010591,_31,2012,0.0,1,0
60010689,_16,2016,0.0,1,0
60010689,_21,2017,0.0,1,0
60010689,_23,2015,0.0,2,0
60010851,_17,2015,0.0,1,0
60010851,_19,2017,0.0,2,0
60010851,_22,2012,0.0,1,0
60010851,_23,2012,1.0,1,1
60010851,_27,2013,0.0,1,0
60010896,_15,2013,0.0,1,0
60010896,_22,2012,0.0,2,0
60010953,_16,2013,0.0,1,0
60010953,_25,2016,0.0,1,0
60011040,_22,2016,0.0,1,0
60011069,_13,2017,0.0,1,0
60011069,_16,2013,0.5,2,0
60011069,_17,2015,0.0,1,0
60011069,_22,2017,0.0,1,0
60011069,_23,2013,1.0,1,1
60011069,_25,2015,0.0,1,0
60011549,_11,2016,0.0,1,0
60011549,_15,2016,0.0,1,0
60011549,_16,2016,0.0,1,0
60011549,_25,2013,0.0,1,0
60011715,_24,2015,0.0,1,0
60012223,_16,2016,0.0,1,0
60012223,_22,2015,0.0,1,0
60012627,_21,2012,0.0,1,0
60012820,_15,2017,0.0,1,0
60012820,_16,2017,0.0,1,0
60012820,_19,2015,0.0,1,0
60012820,_25,2012,0.0,1,0
60012820,_31,2012,0.0,2,0
60012879,_23,2017,0.0,1,0
60013156,_10,2017,0.0,1,0
60013156,_13,2015,1.0,1,1
60013156,_24,2015,0.0,1,0
60013268,_19,2015,0.0,1,0
60013551,_11,2012,0.0,1,0
60013551,_13,2012,0.0,1,0
60013551,_14,2016,0.0,1,0
60013551,_21,2016,0.0,1,0
60013551,_22,2013,0.0,1,0
60013551,_23,2015,0.0,1,0
60013551,_24,2013,0.0,1,0
60013614,_31,2017,0.0,1,0
60013625,_10,2015,0.0,1,0
60013625,_13,2011,0.0,2,0
60013625,_19,2011,0.0,1,0
60013625,_23,2012,0.0,1,0
60013625,_24,2011,0.0,1,0
60013625,_25,2011,0.0,1,0
60013625,_28,2013,0.0,1,0
60013625,_30,2013,0.0,1,0
60013789,_16,2013,0.0,1,0
60013789,_17,2013,0.0,2,0
60013789,_19,2013,0.0,1,0
60013789,_22,2012,1.0,1,1
60013789,_25,2011,0.0,1,0
60013789,_26,2013,0.0,1,0
60013789,_27,2013,0.0,1,0
60013789,_31,2013,0.5,2,0
60014070,_13,2017,0.0,1,0
60014070,_27,2017,0.0,1,0
60014157,_19,2013,0.0,3,0
60014205,_19,2012,0.0,1,0
60014205,_25,2013,0.0,1,0
60014205,_31,2012,0.0,1,0
60014277,_11,2012,0.0,1,0
60014277,_13,2013,0.0,1,0
60014402,_16,2011,0.0,1,0
60014402,_23,2015,1.0,1,1
60014402,_31,2012,1.0,1,1
60014466,_16,2015,0.0,1,0
60014466,_19,2016,0.0,1,0
60014466,_23,2015,0.0,1,0
60014466,_31,2015,0.0,1,0
60014643,_10,2016,0.0,1,0
60014643,_16,2015,0.0,1,0
60014773,_11,2013,1.0,1,1
60014773,_16,2013,0.0,1,0
60014773,_19,2012,0.0,1,0
60014773,_22,2017,0.0,1,0
60014773,_23,2011,0.0,1,0
60014966,_10,2012,0.0,1,0
60014966,_11,2015,0.0,2,0
60014966,_13,2011,0.0,3,0
60014966,_14,2017,0.0,1,0
60014966,_15,2012,1.0,1,1
60014966,_16,2011,0.0,2,0
60014966,_17,2012,0.0,1,0
60014966,_19,2011,0.0,2,0
60014966,_21,2013,0.0,1,0
60014966,_22,2012,0.5,2,0
60014966,_23,2015,0.0,1,0
60014966,_24,2017,0.0,1,0
60014966,_25,2011,0.0,1,0
60014966,_26,2011,0.0,1,0
60014966,_27,2012,0.5,2,0
60014966,_28,2012,0.0,1,0
60014966,_30,2015,0.0,1,0
60014966,_31,2011,0.0,4,0
60014966,_33,2016,0.0,1,0
60015487,_11,2017,0.0,1,0
60015742,_11,2013,0.0,1,0
60015742,_13,2011,0.0,1,0
60015742,_15,2013,0.0,1,0
60015742,_16,2011,0.0,1,0
60015742,_19,2013,0.5,2,0
60015742,_22,2017,0.0,1,0
60015742,_25,2013,0.0,1,0
60015742,_27,2017,0.0,1,0
60015742,_31,2015,1.0,1,1
60016087,_15,2017,0.0,1,0
60016087,_16,2011,0.0,1,0
60016087,_19,2017,0.0,1,0
60016211,_19,2012,0.0,1,0
60016211,_23,2015,0.0,1,0
60016358,_10,2017,0.0,1,0
60016521,_10,2012,1.0,1,1
60016521,_11,2012,0.0,1,0
60016521,_13,2012,1.0,1,1
60016521,_16,2011,0.0,2,0
60016521,_17,2013,1.0,1,1
60016521,_19,2012,0.0,1,0
60016521,_24,2015,0.0,1,0
60016521,_25,2012,0.0,1,0
60016521,_26,2016,0.0,1,0
60016521,_27,2013,0.0,1,0
60016521,_29,2012,0.0,1,0
60016521,_31,2015,0.5,2,0
60016521,_35,2012,1.0,1,1
60016835,_16,2012,0.0,1,0
60016835,_17,2017,0.0,2,0
60016835,_22,2011,1.0,1,1
60016835,_25,2016,0.0,1,0
60016835,_26,2017,0.0,1,0
60016835,_31,2015,0.0,1,0
60017060,_13,2015,0.0,1,0
60017060,_16,2013,0.0,2,0
60017060,_17,2017,1.0,1,1
60017060,_19,2017,0.0,1,0
60017060,_21,2017,0.5,2,0
60017060,_22,2011,0.0,1,0
60017060,_23,2017,1.0,1,1
60017060,_25,2012,0.0,1,0
60017060,_27,2015,0.0,1,0
60017060,_28,2012,0.0,1,0
60017060,_31,2011,0.0,1,0
60017179,_17,2013,0.0,1,0
60017456,_11,2016,0.0,1,0
60017456,_13,2015,1.0,1,1
60017456,_19,2017,0.0,3,0
60017456,_23,2016,0.0,1,0
60017456,_27,2016,0.5,2,0
60017456,_31,2015,0.0,1,0
60017482,_25,2011,0.0,1,0
60017483,_11,2017,0.0,1,0
60017483,_13,2016,0.0,1,0
60017483,_15,2017,0.0,1,0
60017483,_19,2017,0.0,1,0
60017605,_16,2013,0.0,2,0
60017605,_17,2017,1.0,1,1
60017605,_22,2015,0.0,1,0
60017605,_25,2017,0.0,1,0
60017605,_27,2017,0.0,1,0
