hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
60003977,_2211,_22,2011,0.0,1,0
60003977,_2500,_25,2015,0.0,1,0
60003977,_3100,_31,2017,0.0,1,0
60003977,_3102,_31,2017,0.0,1,0
60003977,_3104,_31,2015,0.0,1,0
60004246,_2208,_22,2011,0.0,1,0
60004538,_1503,_15,2012,0.0,1,0
60004538,_1600,_16,2017,0.0,4,0
60004538,_2204,_22,2015,0.0,1,0
60004538,_2205,_22,2016,0.0,1,0
60004538,_2207,_22,2012,0.5,2,0
60004538,_2210,_22,2016,0.5,2,0
60004538,_2211,_22,2017,0.0,1,0
60004538,_2212,_22,2013,0.0,1,0
60004538,_2312,_23,2016,1.0,1,1
60004538,_2500,_25,2013,0.0,1,0
60004538,_3102,_31,2011,0.0,1,0
60004630,_1000,_10,2016,0.0,1,0
60004630,_1110,_11,2015,0.0,1,0
60004630,_2304,_23,2017,0.0,1,0
60004630,_2700,_27,2017,0.0,1,0
60005027,_1600,_16,2013,0.0,1,0
60005229,_1312,_13,2013,0.0,1,0
60005229,_2700,_27,2017,0.0,1,0
60005244,_1309,_13,2017,0.0,1,0
60005244,_1312,_13,2013,0.0,1,0
60005244,_1500,_15,2017,0.0,1,0
60005244,_1600,_16,2013,0.0,1,0
60005244,_1602,_16,2013,0.0,1,0
60005244,_1712,_17,2016,1.0,1,1
60005244,_1909,_19,2016,0.0,1,0
60005244,_2204,_22,2017,0.0,1,0
60005244,_2205,_22,2012,0.3333333333333333,3,0
60005244,_2208,_22,2012,0.0,1,0
60005244,_2211,_22,2013,0.0,1,0
60005244,_2305,_23,2017,1.0,1,1
60005244,_2500,_25,2016,0.0,1,0
60005244,_2700,_27,2015,0.0,2,0
60005244,_2804,_28,2015,0.0,2,0
60005244,_3107,_31,2017,0.5,2,0
60005244,_3313,_33,2015,0.0,1,0
60005465,_1600,_16,2017,0.25,4,0
60005465,_1700,_17,2016,0.0,1,0
60005465,_1705,_17,2013,0.0,1,0
60005465,_1706,_17,2017,0.6666666666666666,3,0
60005465,_1712,_17,2013,1.0,1,1
60005465,_1804,_18,2015,0.0,1,0
60005465,_2207,_22,2017,1.0,1,1
60005465,_2208,_22,2011,0.0,4,0
60005465,_2213,_22,2011,0.0,1,0
60005465,_2500,_25,2013,0.0,1,0
60005465,_2504,_25,2016,0.0,1,0
60005465,_2505,_25,2016,0.0,1,0
60005465,_2614,_26,2017,0.0,1,0
60005465,_2705,_27,2017,0.0,1,0
60005465,_2732,_27,2015,0.0,1,0
60005465,_2804,_28,2015,1.0,1,1
60005465,_2808,_28,2015,0.0,1,0
60005465,_3100,_31,2016,0.0,1,0
60005465,_3107,_31,2012,0.0,1,0
60005500,_1000,_10,2017,0.0,1,0
60005500,_1307,_13,2017,0.0,1,0
60005500,_1313,_13,2016,0.0,1,0
60005500,_1605,_16,2017,0.0,1,0
60005500,_2208,_22,2017,0.0,1,0
60005500,_2502,_25,2017,0.0,1,0
60005816,_1104,_11,2013,0.0,1,0
60005816,_1110,_11,2016,0.0,1,0
60005816,_1600,_16,2013,0.0,1,0
60005816,_2604,_26,2016,0.0,1,0
60005816,_3107,_31,2011,0.0,1,0
60005816,_3200,_32,2015,0.0,1,0
60006019,_1000,_10,2017,0.0,1,0
60006019,_1906,_19,2013,0.0,1,0
60006019,_1907,_19,2011,0.0,1,0
60006019,_1908,_19,2016,0.5,2,0
60006019,_1909,_19,2016,0.0,1,0
60006019,_2700,_27,2017,0.0,1,0
60006019,_3305,_33,2012,0.0,1,0
60006106,_1000,_10,2015,1.0,1,1
60006106,_1312,_13,2016,0.0,1,0
60006106,_1605,_16,2012,0.0,1,0
60006354,_1000,_10,2012,1.0,1,1
60006354,_1103,_11,2017,0.0,1,0
60006354,_1313,_13,2013,0.0,1,0
60006354,_2500,_25,2011,0.0,1,0
60006354,_2504,_25,2016,0.0,1,0
60006354,_2614,_26,2015,0.0,1,0
60006354,_2700,_27,2011,0.0,1,0
60006354,_3104,_31,2013,0.0,1,0
60006588,_3106,_31,2015,0.0,1,0
60006782,_1600,_16,2013,0.0,1,0
60006782,_1605,_16,2015,0.0,1,0
60006935,_1600,_16,2016,0.0,1,0
60007029,_1106,_11,2012,0.0,1,0
60007029,_1202,_12,2012,1.0,1,1
60007029,_1303,_13,2015,0.0,1,0
60007029,_1305,_13,2013,0.0,1,0
60007029,_1306,_13,2016,0.0,1,0
60007029,_1307,_13,2013,0.0,1,0
60007029,_1312,_13,2015,0.0,1,0
60007029,_1605,_16,2012,0.0,1,0
60007029,_2500,_25,2015,0.0,1,0
60007029,_2507,_25,2011,0.0,1,0
60007155,_1600,_16,2016,0.0,1,0
60007155,_1700,_17,2013,0.0,1,0
60007155,_1900,_19,2017,0.0,1,0
60007155,_2208,_22,2012,1.0,1,1
60007155,_3102,_31,2013,0.0,1,0
60007155,_3104,_31,2013,0.0,1,0
60007171,_1000,_10,2012,0.0,1,0
60007171,_1912,_19,2011,0.0,1,0
60007324,_1000,_10,2012,0.0,1,0
60007324,_1110,_11,2013,0.0,4,0
60007324,_1300,_13,2012,0.0,1,0
60007324,_1303,_13,2013,0.0,3,0
60007324,_1307,_13,2016,0.0,3,0
60007324,_1311,_13,2012,0.0,1,0
60007324,_1312,_13,2012,0.0,3,0
60007324,_1500,_15,2012,0.0,1,0
60007324,_1600,_16,2013,0.0,1,0
60007324,_1902,_19,2013,0.0,2,0
60007324,_1912,_19,2013,0.0,1,0
60007324,_2208,_22,2015,0.0,1,0
60007324,_2403,_24,2011,0.0,2,0
60007324,_2504,_25,2012,0.0,1,0
60007324,_2614,_26,2015,0.0,1,0
60007324,_2800,_28,2012,0.0,1,0
60007324,_3104,_31,2015,0.5,2,0
60007333,_2303,_23,2017,1.0,1,1
60007381,_1606,_16,2017,0.0,1,0
60007381,_2500,_25,2016,0.0,1,0
60007711,_1307,_13,2015,0.0,1,0
60007711,_1311,_13,2017,0.0,1,0
60007711,_1600,_16,2011,1.0,1,1
60007711,_1605,_16,2013,0.0,1,0
60007711,_1606,_16,2016,0.0,1,0
60007711,_2208,_22,2013,0.0,1,0
60007711,_2403,_24,2013,0.0,1,0
60007711,_2500,_25,2015,0.0,1,0
60007711,_2613,_26,2017,0.0,1,0
60007711,_2700,_27,2017,0.0,1,0
60008073,_3004,_30,2017,1.0,1,1
60008073,_3505,_35,2013,1.0,1,1
60008332,_1303,_13,2017,0.0,1,0
60008332,_1312,_13,2017,0.0,1,0
60008332,_1605,_16,2017,0.0,1,0
60008332,_2500,_25,2017,0.0,1,0
60008576,_3107,_31,2017,0.0,1,0
60008691,_2211,_22,2011,0.0,1,0
60008691,_3107,_31,2016,0.0,1,0
60008872,_1300,_13,2017,0.0,1,0
60008872,_2701,_27,2017,0.0,1,0
60009400,_2208,_22,2012,0.0,1,0
60009409,_1906,_19,2016,0.0,1,0
60009409,_2312,_23,2016,1.0,1,1
60009509,_1110,_11,2015,0.0,1,0
60009509,_1602,_16,2015,0.0,1,0
60009509,_2728,_27,2017,1.0,1,1
60009860,_1000,_10,2012,0.0,1,0
60009860,_1105,_11,2017,0.0,1,0
60009860,_1110,_11,2012,0.0,1,0
60009860,_1300,_13,2016,1.0,1,1
60009860,_1303,_13,2017,0.0,1,0
60009860,_1306,_13,2016,0.0,1,0
60009860,_1307,_13,2012,0.0,1,0
60009860,_1311,_13,2012,1.0,1,1
60009860,_1312,_13,2011,0.0,1,0
60009860,_1315,_13,2015,0.0,1,0
60009860,_1600,_16,2012,0.0,2,0
60009860,_1602,_16,2015,0.0,1,0
60009860,_1606,_16,2015,0.0,1,0
60009860,_1700,_17,2017,0.0,1,0
60009860,_1704,_17,2017,0.0,1,0
60009860,_1706,_17,2017,0.0,1,0
60009860,_1712,_17,2017,0.0,1,0
60009860,_1804,_18,2017,0.0,1,0
60009860,_1902,_19,2016,0.0,1,0
